0.000336011 0.000788162,0.000131555 1.00079,1.00013 1.00099, ,0.0289609 10.0236,4.02876 9.98318,1.94809 2.00378, ,0.00627869 -0.0105083,4.00626 0.00323208,1.99596 2.99634, ,0.027486 -0.0104129,-0.036038 9.98939,4.99562 5.02125, ,1.00157 0.999534,5.99978 7.00102,2.00097 2.99983, ,-1.00508 -3.00941,-4.02198 -4.98382,0.0289132 0.981941, ,1.03303 2.97623,-4.06035 -4.96464,0.00966942 0.988085, ,
-0.0167563 0.00879938,-0.0170346 1.0088,0.982965 1.00908, ,0.356861 10.261,4.32799 9.78134,1.38302 2.07893, ,0.0730351 -0.112261,4.07078 0.0221208,1.97112 2.95324, ,0.190949 -0.0843783,-0.297482 9.90369,4.94077 5.15387, ,1.0029 1.00781,6.0137 6.9988,2.0065 3.00601, ,-1.01086 -3.01698,-4.05844 -4.94371,0.0857667 0.957611, ,1.06698 2.95305,-4.1105 -4.93325,0.0225512 0.97589, ,
-0.0176527 0.00920043,-0.0181043 1.0092,0.981896 1.00965, ,0.36953 10.2693,4.33888 9.77509,1.36569 2.08352, ,0.0776413 -0.119351,4.07508 0.0237785,1.96901 2.95029, ,0.19472 -0.0870228,-0.308458 9.90031,4.9368 5.15823, ,1.00124 1.00972,6.01619 6.99723,2.00622 3.00722, ,-1.01106 -3.01719,-4.05991 -4.94189,0.0882047 0.956676, ,1.06826 2.95206,-4.11258 -4.93202,0.0229845 0.97535, ,
-0.0185088 0.00958045,-0.019145 1.00958,0.980855 1.01022, ,0.381725 10.2773,4.34932 9.76919,1.34927 2.08806, ,0.0821977 -0.126339,4.07932 0.0253872,1.96696 2.94737, ,0.197722 -0.0894315,-0.318669 9.89723,4.93286 5.16209, ,0.999564 1.01163,6.01868 6.99565,2.00594 3.00843, ,-1.01124 -3.01737,-4.0613 -4.94017,0.0905102 0.955805, ,1.06946 2.95113,-4.11457 -4.93087,0.0233847 0.974834, ,
-0.0193273 0.00994075,-0.0201581 1.00994,0.979842 1.01077, ,0.39351 10.285,4.35938 9.76358,1.33364 2.09254, ,0.0867104 -0.133234,4.0835 0.0269536,1.96497 2.94445, ,0.199986 -0.0916169,-0.32815 9.89443,4.92894 5.16547, ,0.997881 1.01354,6.02118 6.99406,2.00565 3.00964, ,-1.01141 -3.01753,-4.0626 -4.93852,0.0926898 0.954996, ,1.07059 2.95023,-4.11647 -4.92978,0.0237533 0.97434, ,
-0.020111 0.0102825,-0.0211448 1.01028,0.978855 1.01132, ,0.404905 10.2924,4.36908 9.75826,1.31875 2.09696, ,0.0911853 -0.140046,4.08763 0.0284841,1.96301 2.94156, ,0.201539 -0.0935896,-0.336931 9.8919,4.92505 5.16839, ,0.996191 1.01547,6.02368 6.99246,2.00536 3.01086, ,-1.01156 -3.01767,-4.06383 -4.93695,0.0947497 0.954245, ,1.07164 2.94938,-4.11827 -4.92874,0.0240918 0.973867, ,
-0.0208623 0.0106069,-0.0221064 1.01061,0.977893 1.01185, ,0.415929 10.2995,4.37845 9.7532,1.30457 2.10132, ,0.0956282 -0.146782,4.09172 0.0299851,1.9611 2.93867, ,0.202403 -0.095359,-0.345038 9.88965,4.92118 5.17086, ,0.994493 1.0174,6.02618 6.99085,2.00506 3.01208, ,-1.01171 -3.01778,-4.06498 -4.93546,0.0966956 0.953551, ,1.07263 2.94856,-4.12 -4.92777,0.0244013 0.973414, ,
-0.0215835 0.0109148,-0.0230439 1.01091,0.976955 1.01237, ,0.426603 10.3064,4.38749 9.74841,1.29106 2.10563, ,0.100045 -0.153451,4.09577 0.0314623,1.95922 2.9358, ,0.202599 -0.0969331,-0.352495 9.88765,4.91734 5.1729, ,0.992788 1.01934,6.02868 6.98924,2.00476 3.0133, ,-1.01184 -3.01787,-4.06606 -4.93404,0.0985329 0.952909, ,1.07356 2.94779,-4.12164 -4.92685,0.024683 0.972981, ,
-0.0222767 0.0112074,-0.0239584 1.01121,0.97604 1.01289, ,0.436944 10.3131,4.39624 9.74386,1.27818 2.10987, ,0.104441 -0.16006,4.09978 0.0329216,1.95738 2.93294, ,0.202145 -0.0983189,-0.359322 9.88591,4.91352 5.17453, ,0.991078 1.02128,6.03119 6.98762,2.00446 3.01453, ,-1.01196 -3.01794,-4.06708 -4.93268,0.100266 0.952319, ,1.07442 2.94705,-4.12321 -4.92598,0.0249381 0.972566, ,
-0.0229441 0.0114854,-0.024851 1.01148,0.975147 1.01339, ,0.446967 10.3195,4.4047 9.73954,1.2659 2.11406, ,0.108822 -0.166617,4.10377 0.0343685,1.95556 2.93009, ,0.201055 -0.0995221,-0.365537 9.88441,4.90973 5.17574, ,0.989361 1.02322,6.03369 6.986,2.00416 3.01576, ,-1.01207 -3.01799,-4.06803 -4.93139,0.101901 0.951778, ,1.07523 2.94634,-4.1247 -4.92517,0.0251675 0.97217, ,
-0.0235875 0.0117496,-0.0257226 1.01175,0.974275 1.01388, ,0.456689 10.3257,4.41289 9.73545,1.25419 2.11819, ,0.113194 -0.173129,4.10773 0.0358085,1.95376 2.92724, ,0.199342 -0.100548,-0.371155 9.88317,4.90595 5.17656, ,0.98764 1.02517,6.0362 6.98437,2.00385 3.01699, ,-1.01216 -3.01803,-4.06892 -4.93017,0.10344 0.951285, ,1.07598 2.94567,-4.12613 -4.9244,0.0253722 0.97179, ,
