0.000336011 0.000788162,0.000131555 1.00079,1.00013 1.00099, ,0.0289609 10.0236,4.02876 9.98318,1.94809 2.00378, ,0.00627869 -0.0105083,4.00626 0.00323208,1.99596 2.99634, ,0.027486 -0.0104129,-0.036038 9.98939,4.99562 5.02125, ,1.00157 0.999534,5.99978 7.00102,2.00097 2.99983, ,-1.00508 -3.00941,-4.02198 -4.98382,0.0289132 0.981941, ,1.03303 2.97623,-4.06035 -4.96464,0.00966942 0.988085, ,
-0.0586365 0.025135,-0.0801073 1.0249,0.919662 1.04638, ,0.882566 10.644,4.79212 9.79815,1.1457 2.40196, ,0.274117 -0.250907,4.27302 -0.344738,2.34394 2.70135, ,0.231202 -0.227358,-1.26662 9.65983,4.42589 5.46515, ,0.52981 1.4576,6.6724 6.28136,1.92537 3.20472, ,-0.995273 -2.96963,-4.02367 -4.92637,0.0620269 1.01561, ,1.01209 2.95633,-4.10922 -4.96656,-0.0182653 0.971796, ,
-0.0588379 0.025222,-0.080433 1.02499,0.919334 1.04658, ,0.883878 10.6454,4.79347 9.79977,1.14739 2.40341, ,0.27319 -0.248256,4.27193 -0.348732,2.34792 2.70056, ,0.2308 -0.228193,-1.27177 9.65828,4.42275 5.46633, ,0.530381 1.45705,6.67367 6.27992,1.92619 3.20397, ,-0.995119 -2.96921,-4.02326 -4.92634,0.0616722 1.01616, ,1.01159 2.95641,-4.10905 -4.96692,-0.0185993 0.971788, ,
-0.0590395 0.0253086,-0.0807586 1.02507,0.919006 1.04679, ,0.885182 10.6468,4.79481 9.80139,1.14908 2.40486, ,0.272161 -0.245507,4.27072 -0.352727,2.35186 2.69981, ,0.230147 -0.229031,-1.27659 9.6568,4.4197 5.46725, ,0.530979 1.45647,6.67491 6.27852,1.92702 3.2032, ,-0.994965 -2.9688,-4.02286 -4.92631,0.0613166 1.01671, ,1.0111 2.95648,-4.1089 -4.96726,-0.0189268 0.971774, ,
-0.0592415 0.0253949,-0.0810842 1.02516,0.918677 1.047, ,0.886479 10.6483,4.79615 9.803,1.15078 2.4063, ,0.271047 -0.242722,4.26942 -0.356642,2.35568 2.6991, ,0.229384 -0.229906,-1.28116 9.65535,4.41674 5.46799, ,0.531603 1.45586,6.67611 6.27717,1.92786 3.20242, ,-0.994811 -2.96838,-4.02245 -4.92629,0.0609577 1.01726, ,1.01063 2.95654,-4.10877 -4.96759,-0.01925 0.971757, ,
-0.059444 0.0254809,-0.08141 1.02524,0.918349 1.04721, ,0.887771 10.6497,4.79748 9.80462,1.15247 2.40773, ,0.26984 -0.239918,4.26802 -0.360443,2.35933 2.69846, ,0.228583 -0.230842,-1.28555 9.65386,4.41387 5.46858, ,0.532253 1.45522,6.67729 6.27585,1.9287 3.20163, ,-0.994658 -2.96797,-4.02204 -4.92626,0.0605947 1.01781, ,1.01016 2.9566,-4.10864 -4.96792,-0.0195706 0.971738, ,
-0.0596471 0.0255666,-0.081736 1.02532,0.91802 1.04741, ,0.889056 10.6511,4.79881 9.80623,1.15417 2.40917, ,0.268533 -0.237115,4.26652 -0.364092,2.36276 2.69788, ,0.22775 -0.231853,-1.28971 9.65234,4.41111 5.46898, ,0.532927 1.45456,6.67845 6.27458,1.92955 3.20083, ,-0.994505 -2.96755,-4.02164 -4.92624,0.0602269 1.01837, ,1.00969 2.95665,-4.10852 -4.96824,-0.0198898 0.971719, ,
-0.0598509 0.0256521,-0.0820623 1.02541,0.917691 1.04762, ,0.890336 10.6525,4.80013 9.80785,1.15586 2.4106, ,0.267114 -0.234339,4.2649 -0.367542,2.36591 2.6974, ,0.226875 -0.232952,-1.29364 9.65077,4.40848 5.46917, ,0.533624 1.45387,6.67957 6.27334,1.9304 3.20002, ,-0.994352 -2.96713,-4.02122 -4.92623,0.0598538 1.01892, ,1.00923 2.95671,-4.1084 -4.96856,-0.0202084 0.971699, ,
-0.0600554 0.0257373,-0.0823889 1.02549,0.917362 1.04782, ,0.891612 10.6539,4.80145 9.80946,1.15756 2.41202, ,0.265572 -0.231622,4.26315 -0.370738,2.3687 2.69701, ,0.225937 -0.234156,-1.29726 9.64916,4.406 5.4691, ,0.534341 1.45316,6.68068 6.27214,1.93126 3.19919, ,-0.994198 -2.96672,-4.02081 -4.92621,0.0594748 1.01948, ,1.00876 2.95676,-4.10829 -4.96888,-0.020527 0.971679, ,
-0.0602607 0.0258224,-0.082716 1.02557,0.917032 1.04803, ,0.892884 10.6554,4.80277 9.81107,1.15925 2.41345, ,0.263956 -0.229001,4.26134 -0.373617,2.37111 2.69673, ,0.224885 -0.23547,-1.30051 9.6475,4.40367 5.46872, ,0.535077 1.45243,6.68176 6.27096,1.93212 3.19836, ,-0.994045 -2.9663,-4.02039 -4.9262,0.0590891 1.02004, ,1.0083 2.95682,-4.10817 -4.9692,-0.0208462 0.971659, ,
-0.0604669 0.0259074,-0.0830436 1.02565,0.916702 1.04823, ,0.894152 10.6568,4.80408 9.81267,1.16093 2.41487, ,0.262377 -0.226519,4.25958 -0.376108,2.37317 2.69659, ,0.223734 -0.236825,-1.30337 9.64588,4.40154 5.46808, ,0.535829 1.45168,6.68283 6.26981,1.93298 3.19752, ,-0.993891 -2.96588,-4.01997 -4.9262,0.0586955 1.02061, ,1.00783 2.95688,-4.10805 -4.96952,-0.0211663 0.97164, ,
-0.0606742 0.0259922,-0.0833718 1.02573,0.916371 1.04843, ,0.895419 10.6582,4.80539 9.81428,1.16261 2.41629, ,0.260935 -0.224218,4.25797 -0.378139,2.37489 2.6966, ,0.222611 -0.238166,-1.30591 9.64433,4.3996 5.46734, ,0.536595 1.45091,6.68387 6.26869,1.93385 3.19667, ,-0.993737 -2.96546,-4.01954 -4.9262,0.0582933 1.02117, ,1.00736 2.95694,-4.10792 -4.96985,-0.0214876 0.971623, ,
-0.0608825 0.026077,-0.0837006 1.02582,0.916039 1.04863, ,0.896685 10.6596,4.80669 9.81588,1.16429 2.41771, ,0.259618 -0.222081,4.25651 -0.379808,2.37636 2.69672, ,0.2213 -0.239447,-1.308 9.64292,4.39783 5.46639, ,0.537374 1.45013,6.68491 6.26758,1.93472 3.19582, ,-0.993582 -2.96504,-4.01911 -4.92621,0.0578834 1.02174, ,1.00688 2.957,-4.10779 -4.97017,-0.0218104 0.971606, ,
-0.061092 0.0261618,-0.0840302 1.0259,0.915707 1.04884, ,0.89795 10.661,4.808 9.81747,1.16595 2.41912, ,0.258401 -0.220101,4.25516 -0.381207,2.37761 2.69691, ,0.219837 -0.240681,-1.30976 9.64164,4.3962 5.46528, ,0.538165 1.44934,6.68593 6.2665,1.9356 3.19496, ,-0.993427 -2.96462,-4.01867 -4.92622,0.0574647 1.02232, ,1.00641 2.95706,-4.10766 -4.97051,-0.0221347 0.971591, ,
-0.0613029 0.0262467,-0.0843606 1.02598,0.915374 1.04904, ,0.899216 10.6624,4.80931 9.81906,1.16761 2.42054, ,0.257267 -0.218284,4.2539 -0.382417,2.37868 2.69712, ,0.218276 -0.241881,-1.31127 9.64045,4.39467 5.46406, ,0.538966 1.44854,6.68694 6.26542,1.93647 3.19409, ,-0.993271 -2.96419,-4.01823 -4.92624,0.0570367 1.02289, ,1.00593 2.95713,-4.10752 -4.97084,-0.0224607 0.971577, ,
-0.0615152 0.0263316,-0.0846919 1.02606,0.915039 1.04924, ,0.900483 10.6638,4.81061 9.82064,1.16926 2.42195, ,0.256203 -0.216618,4.25272 -0.383482,2.37961 2.69734, ,0.216666 -0.243062,-1.31264 9.63931,4.3932 5.46278, ,0.539777 1.44772,6.68794 6.26437,1.93735 3.19322, ,-0.993115 -2.96377,-4.01778 -4.92627,0.0565991 1.02348, ,1.00544 2.9572,-4.10737 -4.97118,-0.0227885 0.971564, ,
-0.0617291 0.0264166,-0.0850241 1.02615,0.914705 1.04944, ,0.90175 10.6652,4.81192 9.82222,1.1709 2.42337, ,0.255197 -0.215079,4.25161 -0.384424,2.38041 2.69756, ,0.215026 -0.244234,-1.31397 9.63818,4.39174 5.46147, ,0.540597 1.4469,6.68893 6.26333,1.93823 3.19235, ,-0.992958 -2.96334,-4.01732 -4.9263,0.0561522 1.02406, ,1.00495 2.95727,-4.10722 -4.97152,-0.0231183 0.971553, ,
-0.0619445 0.0265017,-0.0853573 1.02623,0.914369 1.04964, ,0.903019 10.6666,4.81322 9.82379,1.17253 2.42478, ,0.254242 -0.213651,4.25056 -0.38526,2.38111 2.69778, ,0.213399 -0.245403,-1.31531 9.63706,4.39028 5.46018, ,0.541427 1.44606,6.68991 6.2623,1.93912 3.19147, ,-0.9928 -2.96291,-4.01687 -4.92633,0.0556983 1.02465, ,1.00445 2.95735,-4.10706 -4.97187,-0.0234499 0.971544, ,
-0.0621615 0.0265868,-0.0856914 1.02631,0.914032 1.04984, ,0.904289 10.668,4.81453 9.82536,1.17416 2.42619, ,0.25333 -0.212316,4.24956 -0.386007,2.38171 2.69801, ,0.211788 -0.246571,-1.31665 9.63593,4.38882 5.4589, ,0.542266 1.44521,6.69087 6.26129,1.94 3.19059, ,-0.992644 -2.96248,-4.01641 -4.92637,0.0552432 1.02524, ,1.00395 2.95742,-4.1069 -4.97221,-0.0237833 0.971536, ,
-0.06238 0.0266721,-0.0860264 1.02639,0.913694 1.05004, ,0.90556 10.6694,4.81584 9.82692,1.17577 2.4276, ,0.252455 -0.21106,4.2486 -0.386679,2.38224 2.69824, ,0.210175 -0.247735,-1.31798 9.63481,4.38737 5.45762, ,0.543114 1.44436,6.69183 6.2603,1.94089 3.1897, ,-0.99249 -2.96206,-4.01596 -4.9264,0.0547925 1.02582, ,1.00345 2.9575,-4.10673 -4.97257,-0.0241179 0.971528, ,
-0.0626 0.0267574,-0.0863624 1.02648,0.913355 1.05024, ,0.906832 10.6708,4.81714 9.82847,1.17738 2.42901, ,0.25161 -0.209871,4.24767 -0.387286,2.3827 2.69847, ,0.20854 -0.248892,-1.31929 9.63371,4.38592 5.45632, ,0.543972 1.44349,6.69278 6.25931,1.94178 3.18881, ,-0.992339 -2.96163,-4.01551 -4.92643,0.0543511 1.0264, ,1.00295 2.95758,-4.10656 -4.97292,-0.0244527 0.971521, ,
-0.0628216 0.0268428,-0.0866992 1.02656,0.913016 1.05044, ,0.908105 10.6722,4.81845 9.83003,1.17897 2.43042, ,0.250792 -0.208738,4.24678 -0.387841,2.38311 2.6987, ,0.206893 -0.250042,-1.32058 9.63261,4.38448 5.45502, ,0.544838 1.44262,6.69372 6.25835,1.94268 3.18791, ,-0.992191 -2.96121,-4.01508 -4.92644,0.0539225 1.02698, ,1.00245 2.95766,-4.1064 -4.97327,-0.024787 0.971514, ,
-0.0630447 0.0269283,-0.087037 1.02664,0.912675 1.05063, ,0.909378 10.6736,4.81975 9.83157,1.18056 2.43182, ,0.249994 -0.20765,4.24591 -0.388352,2.38348 2.69894, ,0.20524 -0.251188,-1.32186 9.63152,4.38305 5.45372, ,0.545714 1.44173,6.69465 6.25739,1.94357 3.18701, ,-0.992048 -2.9608,-4.01467 -4.92645,0.0535101 1.02754, ,1.00195 2.95774,-4.10624 -4.97362,-0.0251198 0.971505, ,
-0.0632692 0.0270138,-0.0873756 1.02672,0.912334 1.05083, ,0.910653 10.675,4.82106 9.83311,1.18214 2.43323, ,0.249214 -0.2066,4.24506 -0.388829,2.38381 2.69917, ,0.203585 -0.252329,-1.32313 9.63044,4.38161 5.45241, ,0.546599 1.44084,6.69557 6.25645,1.94447 3.1861, ,-0.991911 -2.96038,-4.01427 -4.92644,0.0531159 1.02809, ,1.00146 2.95781,-4.10608 -4.97396,-0.0254502 0.971495, ,
-0.0634952 0.0270995,-0.087715 1.02681,0.911992 1.05103, ,0.911928 10.6764,4.82237 9.83465,1.18372 2.43463, ,0.248448 -0.205578,4.24423 -0.389279,2.38411 2.69941, ,0.201927 -0.253465,-1.32439 9.62937,4.38019 5.45111, ,0.547493 1.43993,6.69648 6.25553,1.94537 3.18519, ,-0.991778 -2.95997,-4.01388 -4.92641,0.0527418 1.02863, ,1.00097 2.95788,-4.10594 -4.97429,-0.0257774 0.971482, ,
-0.0637225 0.0271851,-0.0880552 1.02689,0.911649 1.05122, ,0.913204 10.6778,4.82367 9.83618,1.18528 2.43603, ,0.247691 -0.204576,4.2434 -0.389711,2.3844 2.69964, ,0.200268 -0.254598,-1.32564 9.6283,4.37876 5.4498, ,0.548396 1.43902,6.69738 6.25461,1.94627 3.18428, ,-0.991652 -2.95957,-4.01352 -4.92637,0.0523884 1.02916, ,1.0005 2.95794,-4.10581 -4.97462,-0.0261007 0.971466, ,
-0.0639511 0.0272708,-0.0883962 1.02697,0.911305 1.05142, ,0.91448 10.6791,4.82498 9.83771,1.18684 2.43744, ,0.24694 -0.203585,4.24259 -0.390134,2.38468 2.69988, ,0.198607 -0.255725,-1.32689 9.62723,4.37734 5.4485, ,0.549309 1.43809,6.69827 6.25372,1.94718 3.18336, ,-0.991531 -2.95917,-4.01318 -4.92632,0.0520562 1.02968, ,1.00004 2.958,-4.1057 -4.97494,-0.0264197 0.971447, ,
-0.064181 0.0273565,-0.0887378 1.02705,0.910961 1.05161, ,0.915756 10.6805,4.82628 9.83923,1.1884 2.43884, ,0.246191 -0.202597,4.24177 -0.390554,2.38495 2.70011, ,0.196943 -0.256849,-1.32812 9.62618,4.37592 5.4472, ,0.55023 1.43715,6.69915 6.25283,1.94808 3.18244, ,-0.991416 -2.95878,-4.01285 -4.92625,0.051745 1.03018, ,0.999586 2.95805,-4.10561 -4.97524,-0.0267339 0.971424, ,
-0.064412 0.0274422,-0.0890802 1.02714,0.910616 1.05181, ,0.917032 10.6819,4.82758 9.84075,1.18994 2.44024, ,0.245443 -0.201611,4.24096 -0.390973,2.38522 2.70034, ,0.195273 -0.257967,-1.32935 9.62513,4.37451 5.44589, ,0.551161 1.43621,6.70002 6.25196,1.94899 3.18151, ,-0.991307 -2.95839,-4.01255 -4.92616,0.0514541 1.03068, ,0.999148 2.95809,-4.10553 -4.97553,-0.0270431 0.971397, ,
-0.0646442 0.027528,-0.0894232 1.02722,0.91027 1.052, ,0.918308 10.6833,4.82889 9.84226,1.19148 2.44163, ,0.244697 -0.200625,4.24015 -0.391392,2.3855 2.70058, ,0.193591 -0.259081,-1.33059 9.62408,4.37308 5.44459, ,0.552102 1.43525,6.70088 6.25111,1.9499 3.18057, ,-0.991204 -2.958,-4.01226 -4.92606,0.0511828 1.03116, ,0.998722 2.95812,-4.10547 -4.97581,-0.0273471 0.971366, ,
-0.0648774 0.0276136,-0.0897667 1.0273,0.909923 1.05219, ,0.919583 10.6847,4.83019 9.84377,1.19302 2.44303, ,0.243953 -0.199641,4.23933 -0.39181,2.38577 2.70081, ,0.191903 -0.260193,-1.33184 9.62304,4.37165 5.44329, ,0.553052 1.43428,6.70173 6.25027,1.95082 3.17964, ,-0.991107 -2.95762,-4.01199 -4.92594,0.0509299 1.03163, ,0.99831 2.95814,-4.10543 -4.97608,-0.027646 0.971332, ,
-0.0651117 0.0276993,-0.0901109 1.02739,0.909577 1.05239, ,0.920859 10.6861,4.83149 9.84528,1.19455 2.44442, ,0.243209 -0.198659,4.23852 -0.392228,2.38604 2.70104, ,0.190213 -0.261304,-1.33312 9.62199,4.37019 5.44201, ,0.554011 1.43331,6.70258 6.24944,1.95173 3.17869, ,-0.991015 -2.95724,-4.01173 -4.92581,0.0506942 1.0321, ,0.997911 2.95816,-4.10541 -4.97633,-0.0279397 0.971293, ,
-0.065347 0.0277848,-0.0904555 1.02747,0.909229 1.05258, ,0.922133 10.6875,4.83279 9.84678,1.19607 2.44581, ,0.242467 -0.197678,4.23771 -0.392646,2.38632 2.70127, ,0.188522 -0.262413,-1.33443 9.62094,4.36872 5.44074, ,0.554981 1.43232,6.70341 6.24863,1.95265 3.17775, ,-0.990929 -2.95687,-4.0115 -4.92567,0.0504746 1.03255, ,0.997524 2.95817,-4.1054 -4.97658,-0.0282284 0.971251, ,
-0.0655832 0.0278703,-0.0908007 1.02755,0.908881 1.05277, ,0.923407 10.6889,4.83409 9.84828,1.19759 2.4472, ,0.241726 -0.196703,4.2369 -0.393068,2.38659 2.7015, ,0.186831 -0.263523,-1.33579 9.61988,4.36722 5.43949, ,0.55596 1.43132,6.70423 6.24784,1.95357 3.17679, ,-0.990847 -2.9565,-4.01127 -4.92552,0.0502699 1.03299, ,0.99715 2.95817,-4.10542 -4.97681,-0.0285123 0.971204, ,
-0.0658203 0.0279557,-0.0911463 1.02763,0.908533 1.05296, ,0.924679 10.6902,4.83539 9.84977,1.1991 2.44859, ,0.240987 -0.195738,4.2361 -0.393499,2.38686 2.70171, ,0.185147 -0.264634,-1.33718 9.61881,4.3657 5.43825, ,0.55695 1.43031,6.70503 6.24706,1.9545 3.17584, ,-0.990771 -2.95613,-4.01107 -4.92535,0.0500789 1.03343, ,0.996787 2.95816,-4.10545 -4.97703,-0.0287917 0.971154, ,
-0.0660583 0.0280409,-0.0914924 1.02772,0.908184 1.05315, ,0.92595 10.6916,4.83668 9.85127,1.20062 2.44998, ,0.240249 -0.194787,4.23529 -0.393941,2.38713 2.70192, ,0.183472 -0.265746,-1.33863 9.61774,4.36416 5.43705, ,0.557951 1.42929,6.70583 6.2463,1.95543 3.17487, ,-0.9907 -2.95577,-4.01087 -4.92518,0.0499006 1.03386, ,0.996435 2.95815,-4.10549 -4.97724,-0.0290667 0.971101, ,
-0.0662972 0.028126,-0.0918388 1.0278,0.907835 1.05334, ,0.92722 10.693,4.83797 9.85275,1.20212 2.45136, ,0.239513 -0.193852,4.23448 -0.394397,2.38741 2.7021, ,0.18181 -0.266861,-1.34014 9.61664,4.36259 5.43587, ,0.558962 1.42825,6.70662 6.24555,1.95636 3.1739, ,-0.990633 -2.95541,-4.01069 -4.925,0.0497338 1.03428, ,0.996094 2.95813,-4.10555 -4.97744,-0.0293375 0.971045, ,
-0.0665368 0.0282109,-0.0921856 1.02788,0.907485 1.05353, ,0.928489 10.6944,4.83927 9.85424,1.20363 2.45275, ,0.238778 -0.192935,4.23368 -0.39487,2.38768 2.70227, ,0.180163 -0.267979,-1.3417 9.61554,4.36099 5.43471, ,0.559985 1.42721,6.70739 6.24482,1.95729 3.17293, ,-0.990571 -2.95505,-4.01052 -4.9248,0.0495778 1.03469, ,0.995763 2.9581,-4.10563 -4.97763,-0.0296045 0.970985, ,
-0.0667771 0.0282956,-0.0925328 1.02796,0.907135 1.05372, ,0.929755 10.6957,4.84056 9.85572,1.20513 2.45413, ,0.238044 -0.192037,4.23287 -0.395361,2.38795 2.70242, ,0.178533 -0.2691,-1.34333 9.61442,4.35936 5.43359, ,0.561018 1.42615,6.70816 6.24411,1.95822 3.17195, ,-0.990513 -2.9547,-4.01036 -4.9246,0.0494317 1.0351, ,0.995441 2.95807,-4.10572 -4.97781,-0.0298679 0.970923, ,
-0.0670181 0.0283801,-0.0928802 1.02805,0.906785 1.05391, ,0.931019 10.6971,4.84185 9.8572,1.20662 2.4555, ,0.237311 -0.191161,4.23207 -0.395871,2.38822 2.70255, ,0.176922 -0.270225,-1.34501 9.61328,4.35771 5.4325, ,0.562064 1.42508,6.70891 6.24341,1.95916 3.17097, ,-0.990459 -2.95435,-4.01021 -4.9244,0.0492946 1.0355, ,0.995128 2.95803,-4.10582 -4.97799,-0.0301277 0.970858, ,
-0.0672598 0.0284644,-0.0932279 1.02813,0.906435 1.0541, ,0.932282 10.6985,4.84313 9.85868,1.20812 2.45688, ,0.23658 -0.190308,4.23127 -0.396403,2.38849 2.70266, ,0.175331 -0.271353,-1.34677 9.61213,4.35602 5.43144, ,0.563121 1.424,6.70965 6.24274,1.9601 3.16998, ,-0.99041 -2.954,-4.01008 -4.92418,0.049166 1.0359, ,0.994824 2.95799,-4.10593 -4.97815,-0.0303844 0.970791, ,
-0.067502 0.0285484,-0.0935758 1.02821,0.906084 1.05428, ,0.933542 10.6998,4.84441 9.86016,1.20961 2.45825, ,0.23585 -0.189478,4.23047 -0.396956,2.38877 2.70274, ,0.17376 -0.272486,-1.34859 9.61096,4.35431 5.43041, ,0.56419 1.4229,6.71037 6.24208,1.96105 3.16898, ,-0.990365 -2.95365,-4.00995 -4.92396,0.0490451 1.03629, ,0.994527 2.95794,-4.10605 -4.97831,-0.030638 0.970721, ,
-0.0677449 0.0286321,-0.0939239 1.02829,0.905733 1.05447, ,0.934799 10.7012,4.8457 9.86163,1.2111 2.45962, ,0.235121 -0.188672,4.22966 -0.397532,2.38904 2.70281, ,0.172211 -0.273623,-1.35047 9.60977,4.35256 5.42941, ,0.565271 1.42179,6.71109 6.24144,1.962 3.16798, ,-0.990323 -2.9533,-4.00983 -4.92373,0.0489314 1.03668, ,0.994238 2.95789,-4.10619 -4.97846,-0.0308887 0.970649, ,
-0.0679882 0.0287155,-0.0942721 1.02837,0.905382 1.05465, ,0.936054 10.7026,4.84697 9.8631,1.21259 2.46099, ,0.234394 -0.187891,4.22886 -0.398132,2.38931 2.70284, ,0.170683 -0.274764,-1.35243 9.60856,4.35079 5.42845, ,0.566365 1.42067,6.71178 6.24082,1.96295 3.16697, ,-0.990286 -2.95296,-4.00972 -4.9235,0.0488244 1.03706, ,0.993956 2.95783,-4.10633 -4.97861,-0.0311367 0.970574, ,
-0.0682321 0.0287987,-0.0946205 1.02845,0.905031 1.05484, ,0.937305 10.7039,4.84825 9.86457,1.21407 2.46236, ,0.233668 -0.187136,4.22807 -0.398756,2.38958 2.70285, ,0.169177 -0.27591,-1.35445 9.60734,4.34899 5.42753, ,0.567472 1.41953,6.71247 6.24022,1.9639 3.16595, ,-0.990252 -2.95262,-4.00962 -4.92326,0.0487235 1.03743, ,0.99368 2.95777,-4.10649 -4.97875,-0.0313821 0.970498, ,
-0.0684764 0.0288815,-0.094969 1.02853,0.90468 1.05502, ,0.938554 10.7053,4.84952 9.86604,1.21555 2.46372, ,0.232945 -0.186408,4.22727 -0.399401,2.38985 2.70284, ,0.167701 -0.27706,-1.35654 9.60609,4.34715 5.42664, ,0.568592 1.41838,6.71314 6.23964,1.96486 3.16493, ,-0.990221 -2.95228,-4.00953 -4.92301,0.0486284 1.03781, ,0.993411 2.9577,-4.10665 -4.97888,-0.031625 0.97042, ,
-0.0687211 0.0289639,-0.0953175 1.02861,0.904329 1.05521, ,0.9398 10.7066,4.85079 9.8675,1.21704 2.46508, ,0.232231 -0.18571,4.22648 -0.40006,2.39012 2.7028, ,0.166267 -0.278213,-1.35872 9.60482,4.34529 5.4258, ,0.569725 1.41722,6.7138 6.23908,1.96582 3.1639, ,-0.990195 -2.95194,-4.00944 -4.92276,0.0485389 1.03817, ,0.993148 2.95764,-4.10683 -4.979,-0.0318654 0.97034, ,
-0.0689661 0.029046,-0.0956661 1.02869,0.903977 1.05539, ,0.941043 10.708,4.85206 9.86896,1.21852 2.46644, ,0.231529 -0.185047,4.22571 -0.400727,2.39038 2.70275, ,0.164878 -0.279367,-1.36097 9.60354,4.3434 5.42501, ,0.570871 1.41604,6.71445 6.23854,1.96679 3.16287, ,-0.990172 -2.95161,-4.00937 -4.92251,0.0484546 1.03854, ,0.992891 2.95756,-4.10701 -4.97912,-0.0321034 0.970258, ,
-0.0692114 0.0291277,-0.0960147 1.02877,0.903626 1.05557, ,0.942282 10.7093,4.85332 9.87042,1.22 2.46779, ,0.230845 -0.184419,4.22496 -0.401396,2.39063 2.70268, ,0.16354 -0.280521,-1.3633 9.60223,4.34149 5.42428, ,0.572031 1.41484,6.71508 6.23802,1.96775 3.16183, ,-0.990152 -2.95127,-4.0093 -4.92225,0.0483757 1.0389, ,0.99264 2.95749,-4.1072 -4.97924,-0.032339 0.970174, ,
-0.0694569 0.029209,-0.0963631 1.02885,0.903275 1.05575, ,0.943518 10.7107,4.85458 9.87188,1.22148 2.46915, ,0.230181 -0.183831,4.22422 -0.402062,2.39087 2.70259, ,0.162255 -0.281672,-1.36572 9.6009,4.33956 5.4236, ,0.573205 1.41363,6.71569 6.23752,1.96873 3.16078, ,-0.990136 -2.95094,-4.00924 -4.92199,0.0483021 1.03925, ,0.992395 2.95741,-4.1074 -4.97935,-0.0325721 0.970089, ,
-0.0697026 0.0292898,-0.0967115 1.02893,0.902924 1.05593, ,0.94475 10.712,4.85584 9.87334,1.22295 2.47049, ,0.229541 -0.183285,4.22352 -0.402719,2.3911 2.70248, ,0.161026 -0.28282,-1.36821 9.59956,4.3376 5.42299, ,0.574394 1.41241,6.71629 6.23705,1.9697 3.15973, ,-0.990123 -2.95061,-4.00919 -4.92172,0.0482338 1.0396, ,0.992156 2.95733,-4.1076 -4.97945,-0.0328027 0.970002, ,
-0.0699484 0.0293702,-0.0970596 1.029,0.902573 1.05611, ,0.945979 10.7134,4.85709 9.8748,1.22443 2.47184, ,0.228927 -0.182782,4.22284 -0.403363,2.39132 2.70236, ,0.159855 -0.283963,-1.37078 9.5982,4.33562 5.42243, ,0.575596 1.41117,6.71687 6.23659,1.97068 3.15867, ,-0.990113 -2.95028,-4.00914 -4.92144,0.0481708 1.03995, ,0.991923 2.95724,-4.10781 -4.97955,-0.0330307 0.969914, ,
-0.0701941 0.0294501,-0.0974076 1.02908,0.902222 1.05629, ,0.947203 10.7147,4.85835 9.87625,1.22591 2.47319, ,0.228342 -0.182322,4.2222 -0.403991,2.39152 2.70223, ,0.158743 -0.2851,-1.37342 9.59683,4.33362 5.42194, ,0.576813 1.40991,6.71744 6.23616,1.97166 3.1576, ,-0.990107 -2.94995,-4.0091 -4.92116,0.0481132 1.0403, ,0.991695 2.95715,-4.10803 -4.97965,-0.0332561 0.969823, ,
-0.0704398 0.0295295,-0.0977552 1.02916,0.901872 1.05647, ,0.948425 10.716,4.85959 9.8777,1.22738 2.47453, ,0.227787 -0.181907,4.22158 -0.4046,2.3917 2.70209, ,0.157691 -0.28623,-1.37614 9.59544,4.33161 5.42152, ,0.578045 1.40864,6.718 6.23575,1.97265 3.15652, ,-0.990104 -2.94963,-4.00907 -4.92088,0.0480611 1.04064, ,0.991474 2.95706,-4.10826 -4.97974,-0.0334789 0.969732, ,
-0.0706853 0.0296084,-0.0981025 1.02923,0.901522 1.05665, ,0.949642 10.7173,4.86084 9.87916,1.22885 2.47587, ,0.227262 -0.181536,4.221 -0.405188,2.39187 2.70194, ,0.1567 -0.287353,-1.37893 9.59404,4.32958 5.42116, ,0.579292 1.40736,6.71853 6.23537,1.97364 3.15544, ,-0.990104 -2.94931,-4.00905 -4.92059,0.0480144 1.04097, ,0.991259 2.95696,-4.1085 -4.97982,-0.033699 0.969638, ,
-0.0709306 0.0296867,-0.0984493 1.02931,0.901172 1.05683, ,0.950856 10.7187,4.86208 9.88061,1.23033 2.4772, ,0.226769 -0.181208,4.22046 -0.405754,2.39202 2.70179, ,0.155768 -0.288467,-1.38179 9.59262,4.32754 5.42085, ,0.580553 1.40605,6.71905 6.23501,1.97463 3.15435, ,-0.990108 -2.94898,-4.00903 -4.9203,0.0479731 1.0413, ,0.99105 2.95686,-4.10874 -4.9799,-0.0339163 0.969543, ,
-0.0711756 0.0297645,-0.0987957 1.02938,0.900823 1.057, ,0.952066 10.72,4.86331 9.88205,1.2318 2.47853, ,0.226309 -0.180925,4.21995 -0.406294,2.39216 2.70162, ,0.154895 -0.289572,-1.38471 9.5912,4.32548 5.42062, ,0.58183 1.40474,6.71956 6.23467,1.97563 3.15326, ,-0.990114 -2.94866,-4.00903 -4.92,0.0479374 1.04163, ,0.990848 2.95676,-4.10899 -4.97997,-0.034131 0.969446, ,
